"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (1/10),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2012","7월",26.1,30.8,36.1,22.1,18.4,173.6,75.0,36.0,1006.0,20.9,6.6,176.3,-,1.5,6.1,10.1
"2012","8월",26.7,31.5,38.0,23.1,18.3,353.6,76.0,32.0,1009.2,21.6,7.1,142.8,-,1.8,8.4,20.4
"2012","9월",20.3,25.8,30.4,16.0,7.9,164.3,77.0,29.0,1013.7,15.7,6.0,151.8,-,1.3,5.9,12.9
"2013","2월",0.6,6.4,18.0,-4.7,-14.5,31.7,53.0,14.0,1023.9,-8.9,4.0,186.7,1.2,2.0,7.5,13.9
"2013","3월",7.1,14.9,25.1,-0.5,-5.7,43.8,53.0,11.0,1016.8,-3.5,3.1,262.4,-,1.9,7.7,14.6
"2013","4월",10.5,17.0,28.9,4.0,-1.0,80.6,56.0,14.0,1012.8,0.8,4.6,236.9,1.7,2.2,9.1,15.4
"2013","5월",18.7,25.8,32.2,11.9,4.8,96.8,60.0,14.0,1011.6,9.6,4.2,266.4,-,1.8,6.6,11.6
"2013","6월",23.2,28.9,32.5,18.6,13.6,187.2,70.0,32.0,1008.1,17.0,6.0,207.9,-,1.5,6.5,9.7
"2013","7월",26.8,31.5,33.9,23.6,21.1,130.2,77.0,43.0,1005.7,22.1,7.1,164.0,-,1.4,5.8,11.9
"2013","8월",27.4,33.0,36.0,22.8,17.9,124.6,75.0,17.0,1006.9,21.9,4.9,255.3,-,1.4,10.0,16.2
"2013","9월",19.9,26.2,31.1,15.0,9.8,151.2,75.0,28.0,1015.3,14.8,6.3,156.8,-,1.1,5.3,8.5
"2014","2월",1.9,8.1,17.9,-3.8,-11.8,6.1,60.0,14.0,1025.0,-5.9,5.0,148.8,4.0,1.4,6.1,10.8
"2014","3월",7.5,14.1,25.5,1.2,-6.3,80.9,55.0,11.0,1019.3,-2.3,4.2,219.1,0.1,1.7,7.3,11.6
"2014","4월",13.9,21.0,27.2,6.9,1.4,60.0,52.0,12.0,1016.7,2.5,4.6,227.1,-,1.7,7.1,12.0
"2014","5월",18.6,26.2,34.9,11.2,3.8,22.9,52.0,12.0,1010.5,6.9,3.2,310.5,-,2.0,8.1,13.9
"2014","6월",21.7,27.5,32.2,17.1,14.4,49.5,65.0,27.0,1006.5,14.1,7.0,185.7,-,1.8,5.5,12.2
"2014","7월",25.4,31.1,35.6,20.9,17.8,69.4,67.0,24.0,1007.2,18.1,6.8,206.5,-,1.8,7.4,13.5
"2014","8월",23.2,27.8,34.1,20.0,14.4,348.8,79.0,39.0,1008.5,18.9,8.0,135.8,-,1.5,6.5,10.6
"2014","9월",20.0,26.2,29.9,15.6,11.2,121.5,75.0,24.0,1013.7,14.9,5.7,190.3,-,1.3,5.8,9.4
"2015","2월",1.2,7.1,12.0,-4.2,-12.5,17.7,57.0,15.0,1021.6,-7.3,4.2,212.9,0.0,2.1,8.7,15.4
"2015","3월",6.6,14.1,22.9,-0.7,-7.9,39.3,46.0,6.0,1020.5,-6.2,2.8,289.4,3.3,2.1,8.9,16.7
"2015","4월",12.6,18.8,28.9,6.8,1.4,66.5,60.0,11.0,1016.2,3.5,5.8,190.0,0.0,1.8,8.6,17.0
"2015","5월",19.3,26.8,33.1,11.6,4.9,26.1,50.0,9.0,1009.1,6.9,3.7,316.6,0.0,1.8,8.5,15.5
"2015","6월",22.0,28.4,33.9,16.4,11.0,135.4,63.0,12.0,1007.0,13.4,6.7,221.4,0.0,1.6,5.8,10.9
"2015","7월",24.6,29.3,35.1,20.6,15.7,123.5,71.0,28.0,1007.2,18.4,6.8,215.6,0.0,1.8,6.1,9.8
"2015","8월",24.9,30.8,37.2,20.6,17.3,161.2,74.0,32.0,1008.5,19.4,5.9,233.7,0.0,1.3,6.6,11.2
"2015","9월",19.8,26.2,30.1,14.4,9.8,11.6,70.0,16.0,1014.4,13.2,5.3,206.7,0.0,1.5,6.1,9.9
"2016","2월",0.8,6.9,18.1,-4.8,-13.0,32.8,52.0,10.0,1023.8,-9.0,3.9,218.9,1.2,2.1,7.7,13.7
"2016","3월",7.1,13.9,21.6,0.7,-8.2,45.8,53.0,11.0,1021.2,-3.4,4.5,235.1,0.0,1.6,6.4,10.6
"2016","4월",14.0,20.9,27.3,7.6,1.8,126.3,57.0,13.0,1013.6,4.1,5.4,240.0,0.0,2.0,9.5,17.9
"2016","5월",19.0,26.4,31.4,11.4,5.5,51.4,55.0,9.0,1011.5,8.0,4.4,313.5,0.0,2.0,10.6,18.9
"2016","6월",23.2,28.8,33.1,17.9,10.7,43.4,64.0,21.0,1007.6,15.1,6.0,253.9,0.0,1.8,6.8,12.0
"2016","7월",25.4,30.5,35.6,21.4,18.1,274.5,77.0,29.0,1008.2,20.7,7.2,229.7,0.0,1.5,5.3,9.1
"2016","8월",26.7,33.4,37.8,21.8,13.0,38.0,68.0,24.0,1005.8,19.5,4.5,289.3,0.0,1.8,7.1,14.8
"2016","9월",21.0,25.7,31.1,17.4,9.6,166.8,79.0,17.0,1013.8,16.8,7.5,107.7,0.0,1.2,5.5,9.6
"2017","2월",1.0,7.4,14.7,-5.5,-9.7,25.2,52.0,12.0,1022.3,-9.0,3.1,234.5,0.0,2.1,7.6,12.8
"2017","3월",6.2,13.2,20.3,-2.0,-5.1,27.4,54.0,13.0,1019.0,-3.8,4.8,246.8,0.0,1.8,7.2,13.3
"2017","4월",14.1,21.3,30.6,7.0,1.6,83.0,53.0,12.0,1012.6,2.8,4.4,276.2,0.0,1.9,7.1,14.6
"2017","5월",19.4,26.8,33.5,12.2,7.8,22.0,53.0,13.0,1011.7,7.9,4.2,306.7,0.0,1.9,7.4,18.8
"2017","6월",22.3,29.7,35.3,16.0,9.9,24.0,58.0,16.0,1008.3,12.4,4.7,304.3,0.0,1.9,7.0,12.0
"2017","7월",26.1,30.9,35.1,22.5,17.2,454.4,81.0,30.0,1007.8,22.1,7.2,201.3,0.0,1.3,6.4,14.5
"2017","8월",25.1,29.9,36.6,21.3,13.2,129.2,79.0,28.0,1007.8,20.7,6.8,226.2,0.0,1.5,5.6,11.3
"2017","9월",20.0,26.4,29.6,14.7,7.7,91.6,76.0,25.0,1013.1,14.8,5.0,242.7,0.0,1.3,6.6,11.1
"2018","2월",-7.0,5.9,14.3,-7.1,-15.0,18.3,-,-,-,-,-,-,-,2.0,-,13.1
"2018","3월",7.9,14.7,23.7,1.4,-5.3,93.5,-,-,-,-,-,-,-,1.9,-,16.1
"2018","4월",13.8,20.9,31.4,6.6,3.0,148.7,-,-,-,-,-,-,-,2.1,-,14.1
"2018","5월",18.4,24.7,31.5,12.2,32.0,98.1,-,-,-,-,-,-,-,1.7,-,16.3
"2018","6월",22.7,28.6,34.5,17.5,12.7,48.5,-,-,-,-,-,-,-,1.6,-,9.8
"2018","7월",27.5,32.7,38.9,22.8,14.3,154.0,-,-,-,-,-,-,-,1.6,-,9.9
"2018","8월",27.3,33.0,38.8,22.8,17.5,249.9,-,-,-,-,-,-,-,1.8,-,14.1
"2018","9월",19.8,25.2,29.7,15.5,9.5,93.7,-,-,-,-,-,-,-,1.3,-,10.3
"2019","2월",2.5,8.5,16.6,-3.0,-12.5,58.6,-,-,-,-,-,-,-,1.7,-,9.2
"2019","3월",7.6,14.6,22.9,0.6,-6.6,11.0,-,-,-,-,-,-,-,2.0,-,11.3
"2019","4월",10.8,18.0,26.6,3.6,-2.3,22.1,-,-,-,-,-,-,-,2.3,-,9.5
"2019","5월",17.8,24.2,30.8,12.1,7.0,71.9,-,-,-,-,-,-,-,1.8,-,7.3
"2019","6월",23.3,29.2,35.7,17.8,12.6,123.4,-,-,-,-,-,-,-,1.7,-,6.8
"2019","7월",22.3,26.4,31.2,19.1,16.1,412.1,-,-,-,-,-,-,-,1.4,-,8.8
"2019","8월",26.6,31.2,34.9,23.1,20.5,300.4,-,-,-,-,-,-,-,1.3,-,6.4
"2019","9월",19.6,25.0,28.3,15.4,10.5,124.3,-,-,-,-,-,-,-,1.3,-,10.4
