"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2013","9월",23.0,28.0,33.0,19.0,13.6,127.9,67.0,23.0,1015.7,15.8,5.5,194.0,-,1.6,5.8,10.0
"2014","3월",8.8,14.5,25.4,3.5,-2.5,79.6,58.0,13.0,1018.8,-0.3,4.5,197.0,-,2.3,9.6,15.0
"2014","4월",14.5,20.6,26.7,8.9,3.4,128.6,57.0,13.0,1016.1,4.3,4.9,194.5,-,2.2,8.7,14.1
"2014","5월",20.2,27.1,36.8,13.6,6.3,17.3,53.0,12.0,1010.2,8.8,3.4,285.4,-,2.3,8.3,14.0
"2014","6월",22.4,27.2,33.3,18.3,14.0,60.8,70.0,28.0,1006.0,15.9,7.1,126.7,-,2.5,8.1,12.1
"2014","7월",26.1,31.1,37.4,22.3,18.8,123.0,74.0,32.0,1006.8,20.5,7.0,143.9,-,2.0,11.2,19.9
"2014","8월",23.8,27.6,33.3,20.9,16.2,439.3,84.0,42.0,1007.8,20.5,7.8,81.7,-,2.2,7.1,11.6
"2014","9월",21.4,26.6,31.8,17.0,12.5,106.2,77.0,29.0,1012.9,16.5,5.2,168.6,-,1.8,6.6,11.0
"2015","3월",9.2,15.5,24.1,3.3,-4.8,50.5,46.0,11.0,1021.4,-3.7,3.1,271.4,0.5,2.2,8.0,14.7
"2015","4월",14.6,20.2,30.0,9.5,3.9,82.7,63.0,14.0,1016.9,5.9,5.9,184.9,-,2.3,7.4,14.1
"2015","5월",21.7,28.0,34.5,15.4,9.6,34.7,49.0,13.0,1010.1,8.9,4.0,309.6,-,2.0,7.3,14.4
"2015","6월",22.9,28.5,35.0,18.3,12.9,62.1,66.0,15.0,1007.1,15.2,7.3,159.7,-,2.3,6.7,10.5
"2015","7월",25.0,29.5,37.0,21.3,16.8,157.5,72.0,28.0,1006.8,19.1,6.8,150.2,-,2.4,7.7,15.6
"2015","8월",26.0,31.2,38.3,22.0,18.3,269.5,75.0,28.0,1007.9,20.5,5.8,178.0,-,1.7,8.5,21.7
"2015","9월",20.6,25.9,30.0,16.2,12.8,70.3,77.0,30.0,1013.6,15.9,4.9,197.9,-,1.8,6.6,10.7
"2016","3월",8.8,14.5,22.4,3.5,-4.6,67.5,55.0,14.0,1020.5,-1.1,4.5,205.4,0.0,2.2,7.5,10.8
"2016","4월",14.9,21.0,27.2,9.5,4.0,151.0,61.0,15.0,1013.1,5.9,5.2,198.4,0.0,2.5,12.1,21.4
"2016","5월",20.0,26.7,32.3,13.6,8.2,65.0,59.0,16.0,1011.1,10.5,4.3,275.1,0.0,2.3,11.6,19.3
"2016","6월",23.4,28.3,33.5,19.1,12.3,45.7,67.0,19.0,1007.3,16.1,6.2,182.3,0.0,2.2,7.6,12.4
"2016","7월",26.4,31.5,36.1,22.6,19.4,307.3,73.0,27.0,1007.7,20.6,7.0,173.4,0.0,2.0,7.7,19.4
"2016","8월",27.6,33.2,38.1,23.2,16.9,81.2,65.0,23.0,1005.2,19.7,4.2,263.1,0.0,2.3,10.3,16.9
"2016","9월",21.9,25.9,32.2,18.7,13.1,306.5,79.0,32.0,1013.0,17.7,7.8,98.1,0.0,1.6,6.4,13.6
"2017","3월",6.6,13.8,20.1,-0.9,-6.5,24.0,50.0,10.0,1018.4,-3.8,4.2,235.4,0.0,1.3,9.3,14.4
"2017","4월",14.2,21.9,31.0,6.2,-1.0,64.7,52.0,12.0,1012.6,4.0,4.2,241.3,0.0,1.8,7.8,14.4
"2017","5월",19.2,27.0,34.8,11.1,6.4,20.4,52.0,14.0,1011.8,9.0,4.0,283.6,0.0,1.5,9.4,16.8
"2017","6월",22.7,29.7,35.1,16.1,10.4,100.1,60.0,15.0,1008.4,13.9,5.0,257.2,0.0,1.6,7.7,12.6
"2017","7월",26.7,31.8,35.6,22.9,16.7,100.5,75.0,27.0,1007.8,22.3,6.9,139.3,0.0,1.4,8.2,13.2
"2017","8월",25.6,30.8,36.1,21.4,14.4,146.4,75.0,15.0,1007.6,20.9,6.1,205.7,0.0,1.2,7.4,14.0
"2017","9월",20.1,26.5,29.6,14.3,6.7,109.9,68.0,16.0,1012.9,14.6,4.8,216.0,0.0,1.0,7.5,11.4
"2018","3월",8.1,15.7,25.6,0.6,-4.7,130.5,-,-,-,-,-,-,-,1.5,-,15.4
"2018","4월",13.9,21.1,30.6,6.5,-3.0,110.5,-,-,-,-,-,-,-,1.7,-,14.9
"2018","5월",18.4,24.6,30.1,12.1,4.3,84.0,-,-,-,-,-,-,-,1.7,-,14.7
"2018","6월",22.7,28.5,34.4,17.0,12.5,96.5,-,-,-,-,-,-,-,1.4,-,12.7
"2018","7월",27.1,32.2,37.6,22.6,16.7,187.5,-,-,-,-,-,-,-,1.1,-,10.2
"2018","8월",27.2,32.8,37.7,22.4,15.9,270.0,-,-,-,-,-,-,-,1.4,-,11.2
"2018","9월",20.1,25.3,29.5,15.6,8.1,158.0,-,-,-,-,-,-,-,1.0,-,11.8
"2019","3월",8.2,16.0,24.8,0.2,-5.8,20.5,-,-,-,-,-,-,-,1.7,-,14.5
"2019","4월",12.4,19.4,27.4,5.3,-4.2,113.0,-,-,-,-,-,-,-,1.4,-,13.2
"2019","5월",18.9,27.0,33.9,10.6,4.5,50.0,-,-,-,-,-,-,-,1.4,-,12.4
"2019","6월",22.2,28.7,34.7,16.4,11.4,140.0,-,-,-,-,-,-,-,1.3,-,9.7
"2019","7월",24.8,29.8,35.3,20.8,15.9,167.5,-,-,-,-,-,-,-,1.5,-,10.8
"2019","8월",26.2,31.9,36.2,21.8,15.5,111.0,-,-,-,-,-,-,-,1.2,-,9.5
"2019","9월",21.7,26.8,32.0,17.9,11.4,241.0,-,-,-,-,-,-,-,1.2,-,15.6
