"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (hr),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2016","4월",13.3,20.2,27.0,6.8,2.1,168.0,53.0,7.0,1013.6,2.3,-,202.2,-,2.1,9.5,17.3
"2016","5월",18.0,25.2,30.0,10.6,6.3,73.0,51.0,9.0,1011.6,5.9,-,272.9,-,2.0,8.9,18.0
"2016","6월",22.0,27.8,31.3,16.8,9.3,49.5,62.0,19.0,1007.8,13.5,-,183.0,-,1.6,6.4,10.5
"2016","7월",24.1,29.3,34.3,20.4,17.4,407.6,76.0,29.0,1008.2,19.2,-,136.1,-,1.3,6.5,11.0
"2016","8월",25.3,31.7,36.3,20.3,12.3,51.7,66.0,18.0,1005.9,17.8,-,240.3,-,1.6,6.5,13.3
"2016","9월",19.4,24.4,29.9,15.9,8.4,140.1,80.0,36.0,1013.8,15.6,-,103.3,-,1.2,5.2,10.7
"2017","3월",6.4,12.8,20.2,0.2,-4.2,24.3,44.0,9.0,1019.1,-6.8,-,228.0,-,2.3,6.8,14.1
"2017","4월",14.1,20.9,29.4,7.2,2.4,80.6,44.0,8.0,1012.6,-,-,240.7,-,2.3,7.8,15.6
"2017","5월",19.0,26.2,32.8,12.1,6.2,25.0,47.0,9.0,1011.8,5.8,-,273.8,-,2.2,7.0,14.5
"2017","6월",22.1,28.8,35.1,15.6,9.4,62.7,53.0,13.0,1008.3,10.5,-,243.2,-,1.8,6.6,11.7
"2017","7월",25.3,29.8,34.1,21.9,16.7,678.7,80.0,29.0,1007.9,21.2,-,121.4,-,1.1,5.9,10.4
"2017","8월",24.1,29.4,36.0,20.6,13.6,211.6,77.0,23.0,1008.3,19.4,-,150.7,-,1.3,5.5,11.1
"2017","9월",19.3,26.1,28.9,13.7,6.5,89.0,70.0,18.0,1013.2,13.0,-,214.6,-,1.4,6.5,9.9
"2018","3월",7.9,14.7,24.5,1.6,-7.4,116.0,54.0,11.0,1020.3,-1.9,-,198.6,-,2.1,8.5,15.3
"2018","4월",13.5,20.3,32.3,6.6,-0.7,157.6,49.0,5.0,1015.5,0.9,-,229.9,-,2.4,8.6,14.6
"2018","5월",17.8,23.8,31.2,11.5,5.3,128.1,62.0,13.0,1011.5,9.0,-,197.8,-,1.9,8.5,16.3
"2018","6월",22.5,28.2,33.5,17.1,10.9,62.9,58.0,17.0,1007.9,12.7,-,189.9,-,1.9,6.1,10.0
"2018","7월",26.6,32.2,37.8,21.9,13.4,174.2,70.0,27.0,1008.8,19.9,-,220.1,-,1.5,5.8,10.4
"2018","8월",26.6,32.6,38.1,21.9,16.4,275.1,67.0,25.0,1007.7,19.2,6.3,180.1,-,1.7,7.5,12.8
"2018","9월",19.2,24.7,28.8,14.5,7.1,164.9,71.0,25.0,1013.7,13.3,6.3,159.0,-,1.5,6.0,11.5
"2019","3월",7.3,14.2,21.7,0.7,-3.9,28.9,53.0,11.0,1016.9,-2.7,4.7,211.1,-,2.5,8.2,16.8
"2019","4월",12.0,18.5,27.0,5.3,-1.9,100.5,55.0,12.0,1015.0,1.6,5.3,189.2,-,2.1,7.2,13.5
"2019","5월",18.8,26.3,32.5,10.8,3.5,58.3,52.0,12.0,1011.6,7.3,3.8,278.7,-,2.1,7.7,15.4
"2019","6월",21.3,27.8,33.5,15.6,10.2,82.5,69.0,24.0,1007.3,14.9,5.6,207.2,-,1.5,8.9,16.0
"2019","7월",24.3,29.3,34.3,20.3,14.8,234.8,78.0,29.0,1006.8,19.8,6.9,138.0,-,1.5,6.2,11.0
"2019","8월",25.2,31.0,35.5,20.6,16.0,142.2,80.0,47.0,1007.3,21.1,6.0,190.1,-,1.5,6.9,11.9
"2019","9월",20.6,25.8,30.4,16.3,9.9,192.9,85.0,29.0,1015.5,17.7,6.8,129.9,-,1.3,7.7,13.2
"2020","3월",7.6,14.3,23.4,0.9,-4.3,15.4,55.0,12.0,1017.1,-2.0,3.7,237.3,-,2.5,12.7,23.0
"2020","4월",10.9,17.6,26.5,4.2,-1.8,28.7,47.0,10.0,1016.3,-1.6,3.4,265.8,-,2.6,9.4,19.5
"2020","5월",17.4,23.5,30.6,11.5,5.3,129.3,70.0,21.0,1010.0,11.0,5.9,219.2,-,1.8,6.2,11.3
"2020","6월",22.8,28.4,34.0,17.6,12.6,175.9,73.0,24.0,1005.8,17.1,6.0,208.3,-,1.5,6.9,13.3
"2020","7월",21.9,25.7,30.5,19.0,15.6,595.7,88.0,47.0,1006.9,19.7,7.7,103.2,-,1.1,5.5,9.2
"2020","8월",25.7,30.2,33.2,22.5,20.3,454.4,89.0,49.0,1008.8,23.5,6.9,126.2,-,1.0,6.3,11.6
"2020","9월",19.0,24.5,28.2,14.8,9.2,118.4,83.0,37.0,1011.7,15.7,6.2,145.2,-,1.3,11.3,19.9
