"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균해면기압 (hPa),이슬점온도 (℃),평균운량 (%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2012","9월",18.8,23.2,29.3,15.1,9.6,265.4,82.8,40.0,1014.0,15.6,6.0,190.6,-,2.4,5.1,9.5
"2013","3월",7.5,12.8,23.9,2.2,-2.4,46.8,59.0,10.0,1015.9,-1.1,4.2,219.7,-,3.3,12.4,22.1
"2013","4월",10.1,15.8,29.5,4.6,-0.3,43.5,61.0,17.0,1012.2,1.8,4.7,220.1,-,3.2,10.6,22.7
"2013","5월",15.8,20.9,31.3,11.3,3.2,89.5,74.0,16.0,1011.7,10.2,5.3,220.6,-,2.6,8.0,17.4
"2013","6월",19.3,22.4,30.0,16.5,11.8,146.1,88.0,44.0,1009.2,17.1,6.9,168.6,-,1.7,8.4,18.8
"2013","7월",24.7,29.3,35.6,20.7,15.2,146.4,82.0,43.0,1005.0,21.1,7.5,146.3,-,2.4,7.2,15.4
"2013","8월",27.0,31.3,37.8,23.4,17.7,42.9,76.0,38.0,1006.4,22.0,4.7,270.8,-,2.2,6.8,12.5
"2013","9월",20.3,24.5,31.3,16.5,12.5,109.7,81.0,42.0,1015.5,16.7,6.1,169.4,-,2.3,7.8,13.6
"2014","3월",7.7,12.7,27.2,2.7,-5.1,62.4,60.0,13.0,1018.8,-0.5,4.7,195.8,-,3.2,9.9,15.5
"2014","4월",12.4,17.0,26.9,7.4,1.2,236.9,66.0,14.0,1016.9,5.5,4.8,224.7,-,3.0,11.2,17.0
"2014","5월",17.9,23.1,30.3,12.5,4.6,7.4,61.0,17.0,1009.8,9.3,3.7,285.2,-,2.6,8.8,18.3
"2014","6월",19.6,22.9,33.7,16.8,14.0,77.1,84.0,28.0,1007.4,16.6,7.3,150.2,-,2.2,6.3,10.4
"2014","7월",24.2,27.9,34.1,21.1,15.6,51.6,78.0,35.0,1007.2,19.8,6.1,231.9,-,2.2,8.6,14.3
"2014","8월",22.3,25.5,30.9,19.7,14.3,331.6,88.0,47.0,1009.1,20.0,8.2,99.4,-,2.1,10.2,13.3
"2014","9월",20.0,24.1,28.5,15.8,11.0,139.3,81.0,41.0,1014.1,16.3,5.4,200.5,-,2.2,7.5,13.1
"2015","3월",7.3,12.7,22.7,1.7,-6.1,29.1,51.0,8.0,1019.6,-3.2,…,276.0,…,2.9,8.7,15.4
"2015","4월",11.8,17.0,31.7,7.1,1.2,78.8,70.0,13.0,1016.3,5.2,…,187.9,…,3.1,10.5,19.0
"2015","5월",17.6,23.4,31.5,12.3,7.2,8.0,62.0,14.0,1008.7,9.2,…,300.3,…,2.5,8.1,15.6
"2015","6월",18.9,22.4,28.2,15.7,9.3,99.1,81.0,27.0,1007.9,15.1,…,202.0,…,2.3,9.7,16.4
"2015","7월",22.2,25.8,32.7,19.0,13.5,120.2,82.0,33.0,1007.8,18.7,…,202.3,…,2.4,8.8,17.4
"2015","8월",24.3,28.0,35.5,20.8,17.4,125.4,82.0,35.0,1008.7,20.7,…,208.0,…,2.1,12.5,20.9
"2015","9월",19.5,23.3,26.9,15.5,12.1,38.1,81.0,39.0,1015.0,15.9,…,199.2,…,2.6,10.1,17.0
"2016","3월",7.1,11.8,20.7,2.0,-5.0,26.8,61.0,14.0,1020.8,-0.9,…,203.3,…,2.7,8.9,13.5
"2016","4월",12.5,17.5,29.4,7.9,3.6,103.8,68.0,16.0,1013.5,6.0,…,204.0,…,3.2,11.7,22.3
"2016","5월",16.6,22.4,28.8,11.5,5.3,18.0,67.0,16.0,1011.2,9.7,…,294.3,…,2.6,9.8,22.1
"2016","6월",20.4,24.1,29.3,17.1,10.1,45.4,80.0,36.0,1008.1,16.5,…,214.3,…,2.0,6.8,12.0
"2016","7월",23.0,26.3,33.9,20.5,17.1,323.9,88.0,51.0,1008.7,20.8,…,158.0,…,1.8,6.5,12.4
"2016","8월",24.9,28.4,32.9,21.7,15.1,114.3,84.0,48.0,1006.3,21.8,…,240.1,…,2.2,9.6,17.1
"2016","9월",20.6,23.8,28.8,17.8,13.1,243.0,87.0,53.0,1014.4,18.3,…,122.6,…,2.2,11.7,15.3
"2017","3월",6.6,11.6,18.1,1.3,-3.2,30.5,62.0,16.0,1018.6,-1.0,…,210.7,…,2.7,8.8,13.7
"2017","4월",13.8,19.3,31.2,8.8,2.8,55.5,61.0,13.0,1012.0,5.3,…,240.0,…,2.6,10.6,17.1
"2017","5월",18.2,23.3,34.0,13.4,6.7,28.5,63.0,14.0,1011.2,9.8,…,279.8,…,2.5,11.0,16.6
"2017","6월",19.2,23.0,31.3,15.4,9.8,22.4,77.0,22.0,1009.0,14.7,…,269.2,…,2.1,8.7,13.7
"2017","7월",24.8,28.6,37.1,21.9,18.0,131.2,82.0,40.0,1007.6,21.1,…,170.7,…,2.0,6.0,9.5
"2017","8월",24.1,27.4,34.1,21.1,14.6,267.1,86.0,33.0,1008.4,21.2,…,146.8,…,2.0,7.2,11.7
"2017","9월",20.5,24.9,29.6,16.0,11.6,92.8,74.0,22.0,1013.2,15.2,…,212.8,…,2.2,6.9,10.5
"2018","3월",8.8,13.9,26.8,3.7,-2.7,130.6,61.0,18.0,1019.9,0.7,…,215.3,…,3.6,13.5,17.7
"2018","4월",13.6,19.4,33.2,8.2,1.2,167.1,58.0,9.0,1015.0,3.9,…,236.3,…,3.3,11.1,18.2
"2018","5월",16.4,20.7,30.1,12.0,6.1,46.2,73.0,16.0,1011.6,10.6,…,192.9,…,2.7,8.8,14.1
"2018","6월",20.2,25.0,34.2,16.4,11.3,27.0,74.0,26.0,1008.1,14.9,…,204.1,…,2.2,6.6,9.9
"2018","7월",24.7,28.1,35.0,21.8,15.5,229.0,83.0,49.0,1009.4,21.7,…,235.4,…,2.2,8.2,13.1
"2018","8월",25.5,28.9,36.6,22.4,18.7,211.3,84.0,44.0,1008.4,22.3,…,172.0,…,1.9,11.1,13.7
"2018","9월",19.9,24.0,29.3,16.2,11.3,143.7,81.0,42.0,1013.9,16.1,…,136.3,…,2.2,9.7,12.3
"2019","3월",8.7,14.1,23.3,3.3,-1.6,47.9,56.0,9.0,1015.7,-0.8,4.6,245.4,…,2.8,10.2,15.0
"2019","4월",11.6,16.4,26.5,6.6,0.7,106.2,62.0,9.0,1014.9,3.4,5.2,220.7,…,2.7,9.2,15.4
"2019","5월",18.1,23.5,35.6,13.2,4.3,17.5,62.0,15.0,1011.0,9.2,4.5,284.5,…,2.4,9.0,13.0
"2019","6월",19.3,23.5,30.4,15.9,11.6,142.1,79.0,32.0,1007.5,15.3,5.5,240.0,…,2.4,8.3,12.1
"2019","7월",24.2,28.0,34.9,21.3,17.5,135.9,81.0,38.0,1006.5,20.5,6.8,194.5,…,2.3,15.7,18.4
"2019","8월",25.1,28.9,35.8,22.2,17.3,140.5,83.0,41.0,1007.2,21.7,5.7,214.8,…,2.0,10.1,16.5
"2019","9월",21.1,24.9,30.7,17.6,10.7,184.5,84.0,32.0,1015.7,18.1,7.0,128.9,…,2.2,10.4,15.9
"2020","3월",8.3,13.3,24.4,3.0,-3.0,35.8,62.0,16.0,1016.5,0.6,3.9,243.0,…,2.8,10.2,18.7
"2020","4월",11.4,16.8,29.0,5.7,0.4,54.3,56.0,15.0,1015.9,1.6,4.0,263.1,…,3.1,11.9,17.1
"2020","5월",17.2,21.7,32.8,12.6,6.1,58.9,71.0,18.0,1010.1,10.9,5.7,244.3,…,2.3,7.8,10.7
"2020","6월",21.1,25.4,33.7,17.5,13.9,126.9,76.0,29.0,1006.1,16.1,5.6,238.7,…,2.3,10.5,12.7
"2020","7월",20.8,24.0,31.7,18.3,14.4,482.7,89.0,47.0,1008.0,18.8,7.4,130.0,…,1.9,10.7,13.9
"2020","8월",25.5,29.2,35.0,22.6,19.7,148.9,84.0,54.0,1008.8,22.3,7.2,150.6,…,2.0,6.4,10.2
"2020","9월",20.0,24.2,30.3,16.5,11.1,236.3,81.0,35.0,1012.0,16.2,5.9,177.5,…,3.2,24.2,28.1
