"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2016","5월",19.7,26.5,31.1,13.0,7.6,59.4,63.0,12.0,1011.7,10.8,-,203.8,-,1.5,8.2,15.9
"2016","6월",23.5,28.6,32.7,18.6,11.7,29.0,74.0,21.0,1007.8,17.8,-,187.1,-,1.2,5.0,9.7
"2016","7월",26.1,31.0,35.9,22.1,20.0,325.4,87.0,38.0,1008.2,23.3,-,171.0,-,1.0,4.2,9.0
"2016","8월",27.3,33.1,36.6,22.5,16.4,114.7,77.0,29.0,1005.9,22.3,-,253.2,-,1.2,5.7,12.3
"2016","9월",21.4,25.6,30.8,18.2,11.7,238.5,91.0,43.0,1013.8,19.5,-,100.5,-,0.7,3.5,7.1
"2017","3월",7.6,14.0,19.7,1.5,-2.4,15.5,55.0,7.0,1015.1,-6.5,…,217.9,…,1.7,5.6,13.9
"2017","4월",15.1,22.1,31.4,8.2,2.5,74.5,57.0,6.0,1016.2,4.9,…,238.9,…,1.9,5.9,13.5
"2017","5월",20.3,27.2,34.8,13.3,8.5,11.5,56.0,9.0,1015.4,7.2,…,281.5,…,1.8,5.1,12.7
"2017","6월",23.5,30.0,34.9,17.7,12.9,22.5,62.0,12.0,1008.0,11.3,…,217.4,…,1.7,4.2,11.1
"2017","7월",26.9,31.6,35.5,23.4,17.2,202.0,88.0,39.0,1007.4,25.0,…,137.6,…,1.3,6.1,17.1
"2017","8월",25.6,304.0,36.2,21.6,15.3,148.0,87.0,30.0,1003.2,24.8,…,186.2,…,1.2,4.2,8.5
"2017","9월",20.4,26.6,29.0,15.2,7.8,81.5,81.0,27.0,1012.4,18.0,…,203.5,…,1.1,3.5,10.2
"2018","3월",7.0,15.2,25.0,-0.1,-7.3,35.4,68.0,7.0,1020.3,2.1,…,180.5,…,1.7,6.4,15.0
"2018","4월",13.2,21.1,32.2,5.4,-1.6,26.1,62.0,4.0,1015.7,5.2,…,232.9,…,1.9,6.2,13.8
"2018","5월",18.1,25.1,33.2,11.3,3.6,40.4,73.0,12.0,1011.6,12.9,…,219.4,…,1.8,7.6,16.5
"2018","6월",22.3,29.1,34.9,16.2,11.0,114.6,70.0,18.0,1008.0,16.8,…,197.3,…,1.5,3.6,9.1
"2018","7월",27.4,33.4,39.0,22.1,14.5,90.0,82.0,35.0,1008.8,23.6,…,242.0,…,1.4,3.8,7.4
"2018","8월",27.1,33.9,39.8,21.1,15.4,88.7,79.0,37.0,1007.8,23.1,…,209.8,…,1.7,5.6,11.5
"2018","9월",19.1,25.5,29.8,13.9,7.2,55.3,86.0,28.0,1013.7,17.3,…,145.4,…,1.3,3.9,7.9
"2019","3월",6.9,25.1,25.1,-1.1,-7.2,22.6,55.5,10.0,1170.0,-1.0,27.0,215.8,...,5.0,4.2,17.0
"2019","4월",11.8,28.4,28.4,3.9,-5.3,83.1,57.2,9.0,1151.0,11.4,33.0,194.3,...,4.0,4.0,23.0
"2019","5월",18.6,34.6,34.6,9.1,1.9,39.7,53.5,9.0,1151.0,10.0,18.0,292.0,...,4.3,5.0,17.0
"2019","6월",22.1,34.9,34.9,15.4,9.3,100.6,64.6,16.0,1071.0,19.3,28.0,233.8,...,3.6,5.0,17.0
"2019","7월",25.2,35.5,35.5,20.5,18.6,103.3,76.0,22.0,1067.0,25.9,36.0,163.4,...,3.2,2.5,12.0
"2019","8월",26.5,37.6,37.6,21.5,14.7,131.5,74.7,22.0,1071.0,21.2,31.0,206.3,...,3.6,3.7,13.0
"2019","9월",21.8,33.0,33.0,17.1,10.5,155.1,78.8,19.0,1152.0,18.2,41.0,132.4,...,2.9,3.6,15.0
"2020","3월",7.5,15.3,23.2,-0.2,-7.5,21.4,62.0,10.0,1016.9,-1.2,3.7,218.4,...,1.4,9.4,16.5
"2020","4월",10.8,18.7,26.8,2.6,-3.7,25.9,55.0,10.0,1016.2,-0.2,3.6,240.8,...,1.7,7.8,16.0
"2020","5월",17.8,24.8,30.9,11.3,4.0,55.5,70.0,17.0,1009.7,11.0,5.6,223.3,...,1.2,6.4,12.0
"2020","6월",23.1,29.6,35.7,17.0,10.7,169.6,71.0,24.0,1005.4,16.6,5.8,222.4,...,1.1,5.6,9.8
"2020","7월",22.6,26.8,31.8,19.1,15.6,369.4,86.0,38.0,1006.3,19.6,7.4,98.0,...,0.8,5.5,9.7
"2020","8월",26.9,31.8,35.2,23.1,21.2,269.5,84.0,40.0,1008.4,23.5,6.9,152.9,...,0.9,4.5,10.4
"2020","9월",19.5,25.4,29.4,15.2,9.3,176.6,82.0,30.0,1011.3,15.9,6.1,128.9,...,1.1,8.2,15.6
