"시점","월별(1)",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2014","5월",18.1,25.7,35.2,10.6,2.9,43.3,53.0,24.0,1010.3,6.9,-,289.2,-,2.9,6.7,10.6
"2014","6월",21.6,27.4,32.8,16.9,14.1,117.1,70.0,45.0,1006.4,15.2,-,143.6,-,1.8,4.5,7.2
"2014","7월",24.8,30.4,35.0,20.4,16.1,85.5,73.0,48.0,1007.1,19.1,-,163.4,-,1.9,4.5,7.2
"2014","8월",22.9,27.6,34.1,19.4,12.9,390.4,81.0,60.0,1008.5,19.1,-,99.8,-,1.6,4.0,6.3
"2014","9월",19.4,26.1,29.9,13.8,8.4,164.5,77.0,46.0,1013.8,14.7,-,184.7,-,1.6,4.0,6.2
"2015","3월",6.2,13.0,22.9,-0.9,-8.8,39.3,45.0,20.0,1020.3,-6.7,-,260.1,-,3.4,7.0,10.9
"2015","4월",12.3,18.1,27.1,6.2,0.9,83.7,62.0,37.0,1016.2,3.5,-,168.3,-,2.5,5.7,8.5
"2015","5월",18.9,26.2,32.6,11.2,3.9,62.0,53.0,25.0,1008.9,7.3,-,296.0,-,2.7,6.0,9.5
"2015","6월",21.9,28.7,33.6,15.7,7.4,111.6,66.0,38.0,1006.9,14.2,-,205.3,-,1.9,4.8,7.5
"2015","7월",24.0,29.1,35.2,20.0,13.9,157.0,79.0,55.0,1007.1,19.7,-,158.7,-,1.7,4.3,6.8
"2015","8월",24.4,31.0,37.1,19.6,14.2,43.2,79.0,47.0,1008.5,19.9,-,186.9,-,1.6,4.3,6.8
"2015","9월",19.1,26.5,30.4,12.9,8.9,45.2,75.0,41.0,1014.4,13.5,-,200.8,-,1.7,3.9,6.2
"2016","3월",6.3,12.5,20.3,-0.3,-7.9,36.9,52.0,8.0,1021.2,-4.6,-,202.5,-,2.8,10.0,13.4
"2016","4월",13.2,20.4,28.2,6.5,0.9,172.0,60.0,12.0,1013.5,3.8,-,210.2,-,2.5,10.5,13.6
"2016","5월",18.0,25.6,30.8,10.4,6.2,91.1,57.0,11.0,1011.3,7.7,-,286.3,-,2.6,11.4,13.6
"2016","6월",22.0,28.2,31.7,16.3,8.6,62.0,69.0,22.0,1007.5,15.2,-,199.8,-,1.9,8.0,12.0
"2016","7월",24.2,29.6,33.9,20.2,16.9,486.3,83.0,28.0,1008.2,20.8,-,134.2,-,1.5,6.9,11.2
"2016","8월",25.5,32.0,35.5,20.1,11.3,62.0,72.0,21.0,1005.8,19.3,-,236.5,-,1.8,8.2,12.0
"2016","9월",19.9,25.2,30.7,15.9,8.2,111.9,80.0,33.0,1013.9,16.1,-,94.7,-,1.3,5.0,8.4
"2017","3월",5.3,11.8,19.8,-1.3,-5.8,26.0,51.0,11.0,1019.0,-5.5,-,227.4,-,2.9,9.9,13.4
"2017","4월",13.3,20.0,29.3,6.1,-0.6,99.5,50.0,12.0,1012.4,1.3,-,237.9,-,2.9,10.2,12.7
"2017","5월",18.3,25.6,31.6,11.2,4.6,10.8,53.0,11.0,1011.5,7.0,-,276.4,-,2.9,9.4,11.7
"2017","6월",21.2,28.4,34.6,14.5,8.3,53.8,59.0,20.0,1008.3,11.8,-,258.4,-,2.1,9.5,11.3
"2017","7월",24.9,29.4,33.5,21.4,15.5,337.7,80.0,34.0,1007.8,20.8,-,133.3,-,1.5,8.9,10.3
"2017","8월",23.8,28.7,36.4,20.0,11.4,320.5,78.0,30.0,1007.9,19.3,-,162.4,-,1.5,6.5,9.7
"2017","9월",18.4,25.4,29.1,12.6,5.8,77.3,74.0,23.0,1013.2,13.0,-,228.3,-,1.8,7.4,10.7
"2018","3월",7.3,13.4,23.2,0.6,-6.9,110.0,58.0,15.0,1019.0,-1.4,-,214.3,-,2.6,8.9,10.2
"2018","4월",12.8,19.6,30.9,5.8,0.4,175.1,54.0,8.0,1014.6,2.1,-,235.6,-,2.8,7.2,8.2
"2018","5월",17.1,23.3,29.7,10.8,3.1,162.6,66.0,13.0,1010.3,9.7,-,232.1,-,2.1,6.6,7.8
"2018","6월",21.9,28.1,33.6,16.2,10.4,78.8,63.0,20.0,1005.3,13.7,-,222.9,-,1.9,5.7,6.6
"2018","7월",26.0,31.6,37.5,21.0,13.1,234.2,72.0,33.0,1006.3,19.9,-,257.3,-,1.7,5.9,6.6
"2018","8월",25.3,31.2,38.0,20.7,15.3,411.5,74.0,31.0,1007.7,19.8,-,199.4,-,1.4,4.7,6.1
"2018","9월",18.2,23.8,27.5,13.1,6.0,166.5,74.0,28.0,1015.8,12.9,-,160.2,-,1.6,8.1,12.7
"2019","3월",6.0,12.6,20.8,-0.5,-4.4,48.7,56.0,7.0,1026.7,-3.3,…,218.0,…,3.2,10.1,15.2
"2019","4월",11.1,17.8,26.5,4.1,-2.2,64.3,56.0,10.0,1025.6,0.7,…,215.5,…,2.6,10.3,14.3
"2019","5월",18.1,25.4,32.5,9.9,2.1,58.0,51.0,7.0,1019.9,5.9,…,298.5,…,2.6,8.7,15.4
"2019","6월",20.9,27.4,32.8,15.0,9.7,87.7,68.0,22.0,1016.8,13.9,…,235.9,…,1.7,7.2,10.0
"2019","7월",23.6,28.6,32.9,19.6,14.0,208.9,77.0,30.0,1013.8,18.9,…,153.5,…,1.4,7.0,11.4
"2019","8월",24.5,30.5,36.2,20.0,14.5,93.3,75.0,3.0,1016.4,19.4,…,202.8,…,1.7,6.9,10.7
"2019","9월",20.1,25.7,30.7,15.5,7.8,168.8,78.0,25.0,1026.3,15.6,…,143.3,…,1.4,6.7,12.7
"2020","3월",7.2,13.7,22.7,0.4,-6.9,16.1,57.0,11.0,1017.4,-1.8,…,229.0,…,3.0,11.6,20.7
"2020","4월",10.3,16.9,25.3,2.9,-3.5,26.2,50.0,10.0,1016.8,-1.4,…,250.5,…,3.3,11.3,20.5
"2020","5월",17.1,23.0,30.0,11.4,5.6,147.2,69.0,19.0,1010.6,10.4,…,221.7,…,2.2,9.5,17.0
"2020","6월",22.5,28.2,33.5,17.1,11.7,142.3,72.0,23.0,1006.3,16.5,…,223.3,…,1.8,8.2,14.2
"2020","7월",21.7,25.6,30.4,18.4,13.5,445.9,87.0,43.0,1007.7,19.0,…,109.5,…,1.2,7.9,11.8
"2020","8월",25.0,29.6,33.0,21.7,19.5,437.1,89.0,38.0,1009.5,22.7,…,114.5,…,1.2,6.6,15.3
"2020","9월",18.7,24.2,27.4,14.1,7.8,108.3,81.0,32.0,1012.4,15.0,…,130.9,…,1.6,10.9,21.3
