월별(1),시점,기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
3월,2018,8.5,15.2,25,2.5,-4.9,123.1,59,13,1020.3,-0.3,...,198.1,...,2,10.7,21.3
4월,2018,14.3,21.1,32,7.4,0.7,141.4,52,9,1015.6,2.5,...,236.6,...,1.9,8.1,14.6
5월,2018,18.7,24.8,32.2,12.9,6.3,105.1,65,14,1011.5,10.7,...,211.9,...,1.4,8.9,15.9
6월,2018,23.3,29.2,35.2,18.2,12.8,76.9,61,17,1007.9,14.4,...,205.2,...,1.3,4.5,9.5
7월,2018,27.3,32.5,38,23,15.7,131.3,73,30,1008.7,21.5,...,245.8,...,1,4.1,7.6
8월,2018,27.5,33.5,38.5,22.9,16.6,342.8,70,29,1007.6,20.8,...,210.3,...,1.1,5.6,13
9월,2018,20,25.2,29.6,15.5,8,133.8,77,25,1013.7,15.1,...,158.9,...,1,5.4,10.4
3월,2019,7.7,14.6,23.6,1.5,-2.7,26.8,55,9,1017.2,-1.8,4.8,216.9,...,2,9.2,16.1
4월,2019,12.5,18.9,27.7,6.3,-2.9,112.2,58,13,1015.2,2.9,5.4,201.4,...,1.6,6.4,16.1
5월,2019,19.6,26.6,33.2,12.2,4.4,46.3,54,13,1011.8,8.6,3.8,294.9,...,1.5,5.9,14
6월,2019,22,27.8,33.4,16.8,12.5,109.5,73,27,1007.1,16.3,5.4,224.9,...,1,4.1,10.1
7월,2019,24.8,29.2,33.7,21.2,15.5,221.2,82,40,1006.6,21.2,6.8,128.6,...,1,4,9.9
8월,2019,26.1,31,35.2,22,17.2,106.7,80,45,1007.2,22.1,5.9,198.8,...,1,4.4,10.8
9월,2019,21.1,26,31.2,17.3,11.3,159.5,86,27,1015.3,18.4,6.8,124.8,...,0.8,6.1,16.9
