"시점","월별(1)",기 온 (℃),기 온 (℃),기 온 (℃),기 온 (℃),기 온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간,최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2016","3월",5.4,13.4,20.9,-1.7,-10.3,43.5,56.0,8.0,1021.4,-4.3,4.5,191.4,-,1.2,6.0,8.9
"2016","4월",12.3,20.2,26.4,5.0,-1.4,132.1,63.0,11.0,1013.8,3.8,5.4,195.9,-,1.6,9.9,13.6
"2016","5월",16.9,25.8,30.8,8.5,3.0,47.8,62.0,13.0,1011.7,8.0,4.4,261.4,-,1.6,10.7,15.3
"2016","6월",21.2,27.9,32.7,15.1,6.4,44.2,69.0,19.0,1007.8,14.4,6.0,178.7,-,1.3,6.6,8.7
"2016","7월",24.0,29.8,34.3,19.5,15.8,235.7,80.0,35.0,1008.4,19.9,7.2,153.0,-,1.0,4.8,7.2
"2016","8월",24.6,31.9,36.3,19.4,12.2,67.1,74.0,24.0,1006.0,19.0,4.5,211.0,-,1.1,6.8,11.2
"2016","9월",19.6,24.6,30.3,16.3,10.1,254.5,83.0,38.0,1014.0,16.4,7.5,78.8,-,0.8,5.3,7.5
"2017","3월",6.2,13.2,20.3,-0.2,-5.1,27.4,54.0,13.0,1019.0,-3.8,4.8,246.8,-,1.8,7.2,13.3
"2017","4월",14.1,21.3,30.6,7.0,1.6,83.0,53.0,12.0,1012.6,2.8,4.4,276.2,-,1.9,7.1,14.6
"2017","5월",19.4,26.8,33.5,12.2,7.8,22.0,53.0,13.0,1011.7,7.9,4.2,306.7,-,1.9,7.4,18.8
"2017","6월",22.3,29.7,35.3,16.0,9.9,24.0,58.0,16.0,1008.3,12.4,4.7,304.3,-,1.9,7.0,12.0
"2017","7월",26.1,30.9,35.1,22.5,17.2,454.4,81.0,30.0,1007.8,22.1,7.2,201.3,-,1.3,6.4,14.5
"2017","8월",25.1,29.9,36.6,21.3,13.2,129.2,79.0,28.0,1007.8,20.7,6.8,226.2,-,1.5,5.6,11.3
"2017","9월",20.0,26.4,29.6,14.7,7.7,91.6,76.0,25.0,1013.1,14.8,5.0,242.7,-,1.3,6.6,11.1
"2018","3월",6.3,13.8,23.5,-0.7,-7.6,112.5,66.0,16.0,1020.4,-0.6,4.3,209.7,3.5,1.7,12.2,14.7
"2018","4월",12.2,20.0,31.5,4.6,-0.3,133.0,59.0,11.0,1015.5,2.7,4.4,236.3,-,1.9,8.6,10.6
"2018","5월",16.8,23.5,31.2,10.2,3.0,93.0,70.0,18.0,1011.6,10.3,5.6,200.0,-,1.5,9.4,12.3
"2018","6월",20.7,27.7,34.7,14.7,9.4,58.8,70.0,22.0,1008.2,14.1,5.9,178.6,-,1.2,5.5,6.8
"2018","7월",25.7,31.7,38.1,20.7,14.0,229.7,77.0,34.0,1009.0,20.8,4.8,226.1,-,1.0,6.0,8.4
"2018","8월",25.4,31.8,38.1,20.6,14.1,155.6,76.0,27.0,1008.1,20.3,6.1,185.6,-,1.3,6.3,8.5
"2018","9월",18.4,24.0,28.4,14.0,7.2,107.9,82.0,32.0,1013.8,14.8,6.6,116.7,-,1.0,6.4,9.5
"2019","3월",5.7,13.5,22.2,-1.0,-6.4,41.0,62.0,15.0,1016.8,-2.2,5.1,207.9,-,1.9,8.5,11.3
"2019","4월",10.2,17.9,24.9,2.7,-5.0,74.0,66.0,15.0,1015.2,2.7,5.3,195.7,0.7,1.6,8.2,11.0
"2019","5월",17.1,25.8,33.0,8.1,1.8,36.0,67.0,18.0,1011.8,9.3,4.2,288.2,-,1.6,7.1,9.6
"2019","6월",19.6,26.7,33.5,13.5,8.4,187.0,81.0,27.0,1007.6,15.6,5.5,208.0,-,1.2,5.6,8.1
"2019","7월",23.4,28.4,33.6,19.3,13.5,100.2,88.0,45.0,1007.0,21.0,7.0,143.5,-,1.1,5.6,8.1
"2019","8월",24.5,30.2,35.5,20.0,14.0,121.0,88.0,34.0,1007.5,22.0,5.9,213.7,-,1.2,5.9,7.3
"2019","9월",20.0,25.5,31.4,15.9,9.3,168.0,91.0,39.0,1015.7,18.2,7.3,116.9,-,0.9,7.2,10.0
"2020","3월",6.5,14.4,22.3,-0.9,-8.6,14.5,69.0,17.0,1017.5,0.2,3.8,232.7,-,1.9,10.8,14.9
"2020","4월",9.5,17.5,25.4,1.7,-4.0,39.5,64.0,16.0,1016.8,1.6,3.8,254.1,-,2.2,9.8,13.1
"2020","5월",16.7,23.9,29.8,10.0,3.0,50.5,78.0,25.0,1010.7,11.9,5.6,228.7,-,1.7,7.8,10.7
"2020","6월",21.9,29.3,36.4,15.2,9.3,117.1,79.0,29.0,1006.5,17.2,5.6,227.6,-,1.4,7.1,8.6
"2020","7월",21.2,26.1,31.4,17.6,12.8,389.6,92.0,45.0,1007.8,19.7,7.5,98.3,-,1.0,4.6,5.9
"2020","8월",25.7,31.6,34.9,21.9,19.6,249.2,91.0,50.0,1009.5,23.9,7.0,150.3,-,0.9,6.6,9.8
"2020","9월",18.5,24.7,28.4,14.0,8.4,221.5,89.0,35.0,1012.3,16.3,6.5,140.5,-,0.9,8.6,11.2
