"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2017","5월",19.3,24.7,33.8,14.6,6.2,38.5,58.0,42.0,-,-,-,8.7,-,-,6.5,13.0
"2017","6월",22.6,25.6,35.5,19.6,11.2,60.0,60.0,47.0,-,-,-,7.6,-,-,6.2,10.2
"2017","7월",27.3,30.6,36.9,14.4,16.6,56.5,75.0,62.0,-,-,-,4.8,-,-,5.2,9.7
"2017","8월",25.8,30.4,37.4,20.5,14.8,228.5,75.0,61.0,-,-,-,6.2,-,-,5.4,8.7
"2017","9월",19.9,22.2,29.6,15.2,6.2,115.0,75.0,61.0,-,-,-,6.7,-,-,5.1,7.9
"2018","3월",8.1,15.1,25.2,3.2,-3.6,126.5,66.0,36.0,-,-,-,6.7,-,4.3,-,11.7
"2018","4월",13.9,19.4,30.6,0.9,-1.2,135.5,62.0,33.0,-,-,-,7.9,-,6.9,-,10.9
"2018","5월",18.4,23.2,30.2,13.0,5.2,91.5,69.0,40.0,-,-,-,6.2,-,6.0,-,10.2
"2018","6월",22.4,26.3,35.3,17.0,12.7,123.5,68.0,53.0,-,-,-,6.2,-,5.5,-,13.3
"2018","7월",27.1,30.6,38.4,19.3,17.2,175.5,74.0,65.0,-,-,-,7.2,-,5.9,-,12.3
"2018","8월",26.9,30.8,38.9,21.2,15.9,327.5,74.0,61.0,-,-,-,6.7,-,5.9,-,11.3
"2018","9월",20,23.5,30.4,14.9,8.6,143.5,79.0,63.0,-,-,-,4.6,-,5.7,-,10.4
"2019","3월",8.2,13.5,20.6,9.6,-4.6,34.0,54.0,29.0,-,-,-,7.5,-,-,-,11.4
"2019","4월",12.7,19.0,27.3,10.0,-2.2,79.0,58.0,31.0,-,-,-,6.7,-,-,-,10.7
"2019","5월",19.1,23.4,33.9,20.2,5.2,39.0,57.0,39.0,-,-,-,9.3,-,-,-,10.7
"2019","6월",22,25.5,32.6,18.3,13.6,213.5,70.0,56.0,-,-,-,7.3,-,-,-,9.8
"2019","7월",25,29.6,34.4,21.0,16.4,281.0,79.0,67.0,-,-,-,4.4,-,-,-,8.5
"2019","8월",28.1,29.6,36.1,21.7,16.1,134.5,77.0,69.0,-,-,-,7.4,-,-,-,13.7
"2019","9월",21.8,26.8,31.9,17.4,11.8,224.5,83.0,71.0,-,-,-,4.8,-,-,-,12.7
"2020","3월",8.8,15.7,22.9,1.9,-5.4,29.0,59.2,30.7,-,-,-,7.9,-,1.0,6.3,11.7
"2020","4월",11.7,18.9,26.4,4.2,-1.0,37.5,54.5,25.4,-,-,-,8.8,-,1.1,8.0,11.8
"2020","5월",18.8,25.4,28.9,12.7,5.8,44.5,67.1,40.1,-,-,-,7.6,-,0.9,6.0,10.8
"2020","6월",23.7,30.0,35.2,18.1,12.0,201.5,70.6,45.4,-,-,-,7.1,-,0.8,6.1,9.6
"2020","7월",22.8,26.8,31.8,19.8,15.8,491.0,85.9,67.1,-,-,-,2.8,-,0.6,4.6,10.3
"2020","8월",27.7,32.3,35.7,24.3,22.5,265.0,80.3,58.1,-,-,-,5.9,-,0.8,6.1,9.6
"2020","9월",20.5,25.5,30.1,16.3,9.6,251.0,79.8,55.2,-,-,-,4.8,-,0.9,6.1,13.2
