"월별(1)","시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"7월","2017",26.5,31.2,35.3,23.1,17.9,404.8,81.0,30.0,1007.9,8.1,...,138.6,...,1.0,5.2,11.1
"7월","2018",27.3,32.5,38.0,23.0,15.7,131.3,73.0,30.0,1008.7,21.5,...,245.8,...,1.0,4.1,7.6
"7월","2019",24.8,29.2,33.7,21.2,15.5,221.2,82.0,40.0,1006.6,21.2,6.8,128.6,...,1.0,4.0,9.9
"8월","2011",24.7,29.3,33.2,21.6,16.8,198..8,86.7,64.8,1009.0,22.0,...,84.3,...,1.0,2.6,5.6
"8월","2012",25.5,30.3,35.5,22.1,17.7,324.3,79.0,61.0,1009.1,21.2,...,158.5,...,1.1,3.0,6.1
"8월","2013",26.7,32.7,35.6,22.4,18.4,114.0,75.0,20.0,996.2,21.5,…,247.5,…,1.1,6.3,12.6
"8월","2014",23.1,27.5,33.0,19.9,13.8,433.3,78.0,43.0,1008.4,18.7,...,127.0,...,1.1,5.8,13.1
"8월","2015",25.6,31.3,36.6,21.3,17.6,45.0,73.0,32.0,1008.5,19.8,...,219.8,...,1.0,9.3,16.2
"8월","2016",27.1,33.6,37.2,22.3,15.6,116.3,68.0,28.0,1005.8,20.0,...,249.6,...,1.1,6.0,12.7
"8월","2017",25.2,30.1,35.7,21.6,15.1,158.4,79.0,25.0,1007.9,7.9,...,187.3,...,1.0,5.7,15.0
"8월","2018",27.5,33.5,38.5,22.9,16.6,342.8,70.0,29.0,1007.6,20.8,...,210.3,...,1.1,5.6,13.0
"8월","2019",26.1,31.0,35.2,22.0,17.2,106.7,80.0,45.0,1007.2,22.1,5.9,-,...,1.0,4.4,10.8
"9월","2011",19.9,25.5,32.8,15.3,7.2,59.0,77.9,50.1,1012.7,15.2,...,145.5,...,1.0,2.6,5.2
"9월","2012",19.0,24.6,28.2,15.0,8.0,303.1,80.0,53.0,1013.8,15.0,...,166.0,...,1.0,2.9,5.8
"9월","2013",20.0,26.4,31.1,15.4,7.9,133.7,77.0,25.0,1004.1,15.3,…,168.6,…,0.8,3.9,9.1
"9월","2014",19.9,26.0,29.9,15.3,9.1,116.7,74.0,22.0,1013.7,14.6,...,183.8,...,0.9,4.1,7.8
"9월","2015",20.3,27.2,30.2,14.6,10.4,30.9,68.0,22.0,1014.3,13.5,...,207.7,...,0.9,4.9,8.4
"9월","2016",21.3,26.4,31.9,17.8,10.4,162.0,81.0,34.0,1013.7,17.5,...,113.2,...,0.7,3.6,7.7
"9월","2017",20.1,26.5,29.7,14.7,7.1,102.7,73.0,25.0,1013.2,7.3,...,207.0,...,1.0,4.5,9.9
"9월","2018",20.0,25.2,29.6,15.5,8.0,133.8,77.0,25.0,1013.7,15.1,...,158.9,...,1.0,5.4,10.4
"9월","2019",21.1,26.0,31.2,17.3,11.3,159.5,86.0,27.0,1015.3,18.4,6.8,124.8,...,0.8,6.1,16.9
