"시점","항목",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (㎜),상대습도 (%),상대습도 (%),평균 해면기압 (hPa),이슬점 온도 (℃),평균 운량 (10%),일조시간 (h),최심신적설 (㎝),바람 (㎧),바람 (㎧),바람 (㎧)
"2015","8월",24.8,31.6,38.7,19.9,14.9,92.5,78.0,25.0,1008.6,19.6,-,176.0,-,1.1,6.6,11.3
"2015","9월",19.0,26.7,30.9,12.7,8.2,41.0,74.0,13.0,1014.5,13.0,-,170.6,-,1.0,6.4,11.4
"2016","3월",6.3,14.9,22.3,-1.4,-11.3,52.6,58.0,22.0,1021.4,-3.7,-,209.4,-,1.2,3.8,10.7
"2016","4월",13.4,21.8,28.5,5.7,-0.9,147.1,67.0,30.0,1013.8,5.5,-,212.2,-,1.5,4.2,14.5
"2016","5월",18.3,27.3,32.2,9.5,3.6,63.0,64.0,29.0,1011.8,9.4,-,288.4,-,1.6,4.4,16.2
"2016","6월",22.7,29.3,34.1,16.4,7.5,42.8,73.0,36.0,1007.9,16.3,-,203.0,-,1.3,3.8,12.8
"2016","7월",25.8,31.7,36.0,20.9,17.5,232.8,82.0,48.0,1008.3,21.6,-,189.2,-,1.1,3.4,10.3
"2016","8월",26.6,34.0,38.0,20.8,13.6,83.0,72.0,41.0,1005.9,19.7,-,237.1,-,1.3,3.8,12.0
"2016","9월",21.1,26.3,32.5,17.0,9.5,230.5,86.0,36.0,1013.8,18.2,-,107.6,-,0.9,2.8,10.0
"2017","3월",5.4,14.0,20.6,-2.3,-8.9,21.1,54.0,7.0,1019.3,-5.2,-,218.0,-,1.4,6.7,13.9
"2017","4월",13.2,22.0,34.5,4.6,-2.4,78.2,57.0,6.0,1012.9,2.2,-,236.7,-,1.5,7.2,12.0
"2017","5월",18.2,27.3,34.0,9.3,3.8,40.3,55.0,9.0,1012.1,6.7,-,275.1,-,1.5,6.9,13.4
"2017","6월",22.1,30.8,36.1,14.3,8.0,28.2,56.0,11.0,1008.4,11.0,-,261.1,-,1.4,5.8,11.8
"2017","7월",26.1,31.8,36.2,21.9,15.4,242.8,80.0,26.0,1008.0,21.8,-,155.2,-,1.0,8.5,13.8
"2017","8월",25.0,30.8,36.6,20.5,11.8,121.2,81.0,25.0,1007.9,20.8,-,186.7,-,1.0,6.5,9.9
"2017","9월",19.2,27.0,30.7,12.9,4.6,74.7,77.0,18.0,1013.3,14.0,-,200.6,-,1.1,5.8,9.7
"2018","3월",7.5,16.0,25.0,-0.1,-7.5,1116.0,62.0,8.0,1020.5,-0.8,-,213.3,-,1.5,8.6,15.9
"2018","4월",13.5,21.9,33.1,5.1,-2.6,1214.0,55.0,5.0,1015.7,2.3,-,232.4,-,1.7,7.4,12.2
"2018","5월",18.4,25.7,32.4,11.0,3.0,1045.0,67.0,11.0,1011.7,10.6,-,218.3,-,1.5,8.2,14.2
"2018","6월",22.7,29.9,36.3,16.0,11.0,704.0,64.0,13.0,1008.1,14.2,-,206.1,-,1.3,5.2,9.2
"2018","7월",27.7,34.2,39.9,22.3,14.7,1976.0,73.0,26.0,1008.8,21.2,-,265.6,-,1.3,5.9,10.3
"2018","8월",27.8,34.6,40.4,22.1,16.2,1800.0,70.0,20.0,1007.8,20.6,-,204.1,-,1.4,7.3,11.7
"2018","9월",19.9,26.3,31.1,14.7,7.5,1017.0,78.0,23.0,1013.7,15.1,-,143.6,-,1.2,5.6,10.3
"2019","3월",6.9,15.7,25.1,-1.1,-7.2,22.6,56.0,10.0,1017.0,-3.0,-,215.8,-,1.5,7.6,12.7
"2019","4월",11.8,19.9,28.4,3.9,-5.3,83.1,57.0,9.0,1015.2,1.6,-,188.6,-,1.4,6.9,13.2
"2019","5월",18.6,28.1,34.6,9.1,1.9,39.7,54.0,99.0,1011.8,6.5,-,308.7,-,1.5,6.5,11.4
"2019","6월",22.1,29.5,34.9,15.4,9.3,100.6,65.0,16.0,1007.1,13.9,-,222.6,-,1.2,6.1,10.6
"2019","7월",25.2,30.7,35.5,20.5,15.2,103.3,76.0,22.0,1006.6,19.9,-,160.8,-,1.2,4.9,8.7
"2019","8월",26.5,32.7,37.6,21.5,14.7,131.5,75.0,22.0,1007.1,20.9,-,211.5,-,1.2,4.8,9.6
"2019","9월",21.8,27.7,33.0,17.1,10.5,155.1,79.0,19.0,1015.1,17.3,-,129.9,-,1.0,6.2,10.7
