Q,A
골드크레스트 '윌마'의 습도 알려 주세요.,습도는 40 에서 70% 
골드크레스트 '윌마'의 비료 알려 주세요.,비료는 보통 요구함 
골드크레스트 '윌마'의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
공작야자의 관리요구도 알려 주세요.,관리요구도는 필요함 
공작야자의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
공작야자의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
공작야자의 생장속도 알려 주세요.,생장속도는 보통 
공작야자의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
공작야자의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
공작야자의 습도 알려 주세요.,습도는 70% 이상 
공작야자의 비료 알려 주세요.,비료는 보통 요구함 
공작야자의 토양 알려 주세요.,"토양은 중성,산성 / 배수잘됨/타입-Loam "
공작야자의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
관엽베고니아의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
관엽베고니아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
관엽베고니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
관엽베고니아의 생장속도 알려 주세요.,생장속도는 보통 
관엽베고니아의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
관엽베고니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
관엽베고니아의 습도 알려 주세요.,습도는 40 에서 70% 
관엽베고니아의 비료 알려 주세요.,비료는 보통 요구함 
관엽베고니아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
관음죽의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
관음죽의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
관음죽의 배치장소 알려 주세요.,"배치장소는 실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
관음죽의 생장속도 알려 주세요.,생장속도는 느림 
관음죽의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
관음죽의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
관음죽의 습도 알려 주세요.,습도는 40 에서 70% 
관음죽의 비료 알려 주세요.,비료는 보통 요구함 
관음죽의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam, Sand "
관음죽의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
관음죽의 병충해 알려 주세요.,병충해는 일반적으로 병이나 해충이 없으나 매우 드물게 응애가 생기기도 한다. 
구문초의 관리요구도 알려 주세요.,관리요구도는 필요함 
구문초의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
구문초의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
구문초의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
구문초의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
구문초의 습도 알려 주세요.,습도는 40 에서 70% 
구문초의 비료 알려 주세요.,비료는 보통 요구함 
구문초의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
구즈마니아의 관리요구도 알려 주세요.,관리요구도는 필요함 
구즈마니아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
구즈마니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
구즈마니아의 생장속도 알려 주세요.,생장속도는 느림 
구즈마니아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
구즈마니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
구즈마니아의 습도 알려 주세요.,습도는 40 에서 70% 
구즈마니아의 비료 알려 주세요.,비료는 보통 요구함 
구즈마니아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
군자란의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
군자란의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
군자란의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
군자란의 생장속도 알려 주세요.,생장속도는 느림 
군자란의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
군자란의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
군자란의 습도 알려 주세요.,습도는 40 에서 70% 
군자란의 비료 알려 주세요.,비료는 보통 요구함 
군자란의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
글레코마의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
글레코마의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
글레코마의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
글레코마의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
글레코마의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
글레코마의 습도 알려 주세요.,습도는 40 에서 70% 
글레코마의 비료 알려 주세요.,비료는 보통 요구함 
글레코마의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
금목서의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
금목서의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
금목서의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
금목서의 생장속도 알려 주세요.,생장속도는 보통 
금목서의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
금목서의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
금목서의 습도 알려 주세요.,습도는 40 에서 70% 
금목서의 비료 알려 주세요.,비료는 보통 요구함 
금목서의 토양 알려 주세요.,"토양은 산성, 중성 / 양질토, 모래 "
금목서의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
금목서의 병충해 알려 주세요.,"병충해는 개각충 등 (깨끗한 용기에 심기, 가정과 온실 도입시 유의 제거) "
금사철나무의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
금사철나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
금사철나무의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
금사철나무의 생장속도 알려 주세요.,생장속도는 보통 
금사철나무의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
금사철나무의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
금사철나무의 습도 알려 주세요.,습도는 40 에서 70% 
금사철나무의 비료 알려 주세요.,비료는 보통 요구함 
금사철나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
금식나무의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
금식나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
금식나무의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
금식나무의 생장속도 알려 주세요.,생장속도는 느림 
금식나무의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
금식나무의 겨울최저온도 알려 주세요.,겨울최저온도는 0℃ 이하 
금식나무의 습도 알려 주세요.,습도는 40 에서 70% 
금식나무의 비료 알려 주세요.,비료는 보통 요구함 
금식나무의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam, Clay "
금식나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
금전수의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
금전수의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
금전수의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
금전수의 생장속도 알려 주세요.,생장속도는 느림 
금전수의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
금전수의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
금전수의 습도 알려 주세요.,습도는 40 에서 70% 
금전수의 비료 알려 주세요.,"비료는 거의 요구하지않음 (1회/년, 봄) "
금전수의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam, Sand "
금전수의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
금천죽의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
금천죽의 광요구도 알려 주세요.,"광요구도는 낮은 광도(300에서 800 Lux),중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
금천죽의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
금천죽의 생장속도 알려 주세요.,생장속도는 느림 
금천죽의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
금천죽의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
금천죽의 습도 알려 주세요.,습도는 40 에서 70% 
금천죽의 비료 알려 주세요.,비료는 보통 요구함 
금천죽의 토양 알려 주세요.,"토양은 중성 / 배수 잘 됨 / 타입-Loam, Sand "
금천죽의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
기누라의 관리요구도 알려 주세요.,관리요구도는 필요함 
기누라의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
기누라의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
기누라의 생장속도 알려 주세요.,생장속도는 보통 
기누라의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
기누라의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
기누라의 습도 알려 주세요.,습도는 40 에서 70% 
기누라의 비료 알려 주세요.,비료는 보통 요구함 
기누라의 토양 알려 주세요.,토양은 중성 / 배수 잘 됨 / 타입-Loam 
기누라의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
꽃베고니아의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
꽃베고니아의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
꽃베고니아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
꽃베고니아의 생장속도 알려 주세요.,생장속도는 빠름 
꽃베고니아의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
꽃베고니아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
꽃베고니아의 습도 알려 주세요.,습도는 70% 이상 
꽃베고니아의 비료 알려 주세요.,비료는 보통 요구함 
꽃베고니아의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam, Sand "
꽃베고니아의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
꽃베고니아의 병충해 알려 주세요.,병충해는 관부썩음병 
나도풍란의 관리요구도 알려 주세요.,관리요구도는 필요함 
나도풍란의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux) "
나도풍란의 배치장소 알려 주세요.,"배치장소는 발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
나도풍란의 생장속도 알려 주세요.,생장속도는 느림 
나도풍란의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
나도풍란의 겨울최저온도 알려 주세요.,겨울최저온도는 7℃ 
나도풍란의 습도 알려 주세요.,습도는 70% 이상 
나도풍란의 물주기 알려 주세요.,"물주기 봄은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 화분 흙 대부분 말랐을때 충분히 관수함 ,가을은 화분 흙 대부분 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
나한송의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
나한송의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
나한송의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
나한송의 생장속도 알려 주세요.,생장속도는 느림 
나한송의 생육적온 알려 주세요.,생육적온은 10에서 15℃ 
나한송의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
나한송의 비료 알려 주세요.,비료는 보통 요구함 
나한송의 토양 알려 주세요.,"토양은 중성,산성,알칼리성 / 배수 잘 됨 / 타입-Clay, Loam, Sand "
나한송의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
남천의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
남천의 광요구도 알려 주세요.,"광요구도는 높은 광도(1,500에서 10,000 Lux) "
남천의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
남천의 생장속도 알려 주세요.,생장속도는 보통 
남천의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
남천의 겨울최저온도 알려 주세요.,겨울최저온도는 5℃ 
남천의 습도 알려 주세요.,습도는 40 에서 70% 
남천의 비료 알려 주세요.,비료는 보통 요구함 
남천의 토양 알려 주세요.,"토양은 중성,산성 / 배수 잘 됨 / 타입-Loam, Sand "
남천의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
네마탄투스의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
네마탄투스의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
네마탄투스의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
네마탄투스의 생장속도 알려 주세요.,생장속도는 보통 
네마탄투스의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
네마탄투스의 겨울최저온도 알려 주세요.,겨울최저온도는 10℃ 
네마탄투스의 습도 알려 주세요.,습도는 40 에서 70% 
네마탄투스의 비료 알려 주세요.,비료는 보통 요구함 
네마탄투스의 토양 알려 주세요.,"토양은 중성 / 배수정도 보통 / 타입 - Loam, Sand "
네마탄투스의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
네오레겔리아의 관리요구도 알려 주세요.,관리요구도는 필요함 
네오레겔리아의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
네오레겔리아의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
네오레겔리아의 생장속도 알려 주세요.,생장속도는 보통 
네오레겔리아의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
네오레겔리아의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
네오레겔리아의 습도 알려 주세요.,습도는 70% 이상 
네오레겔리아의 비료 알려 주세요.,비료는 보통 요구함 
네오레겔리아의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 토양 표면이 말랐을때 충분히 관수함 "
녹영의 관리요구도 알려 주세요.,관리요구도는 필요함 
녹영의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
녹영의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
녹영의 생육적온 알려 주세요.,생육적온은 16에서 20℃ 
녹영의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
녹영의 습도 알려 주세요.,습도는 40 에서 70% 
녹영의 비료 알려 주세요.,"비료는 보통 요구함 (2회/년, 4월, 7월) "
녹영의 토양 알려 주세요.,토양은 건조에 강한 식물이므로 겉흙이 완전히 마르면 관수하며 온도가 낮은 환경에서는 특별히 흙을 건조하게 관리한다. 
녹영의 물주기 알려 주세요.,"물주기 봄은 화분 흙 대부분 말랐을때 충분히 관수함 ,여름은 화분 흙 대부분 말랐을때 충분히 관수함 ,가을은 화분 흙 대부분 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
뉴기니아봉선화의 관리요구도 알려 주세요.,관리요구도는 보통 (약간 잘 견딤) 
뉴기니아봉선화의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
뉴기니아봉선화의 배치장소 알려 주세요.,"배치장소는 거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
뉴기니아봉선화의 생장속도 알려 주세요.,생장속도는 보통 
뉴기니아봉선화의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
뉴기니아봉선화의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
뉴기니아봉선화의 습도 알려 주세요.,습도는 40% 미만 
뉴기니아봉선화의 비료 알려 주세요.,비료는 연중 개화하는 식물이므로 규칙적인 시비가 필요하다. 
뉴기니아봉선화의 토양 알려 주세요.,토양은 유기질이 풍부한 배합토로 만든 토양에서 기른다. 
뉴기니아봉선화의 물주기 알려 주세요.,"물주기 봄은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,여름은 흙을 촉촉하게 유지함(물에 잠기지 않도록 주의) ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
뉴기니아봉선화의 병충해 알려 주세요.,"병충해는 고온 건조할때 햇빛이 강한 곳에 두면, 잎이 떨어지거나 진딧물이 발생하므로 주의한다. "
대만고무나무의 관리요구도 알려 주세요.,관리요구도는 필요함 
대만고무나무의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
대만고무나무의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
대만고무나무의 생장속도 알려 주세요.,생장속도는 보통 
대만고무나무의 생육적온 알려 주세요.,생육적온은 21에서 25℃ 
대만고무나무의 겨울최저온도 알려 주세요.,겨울최저온도는 13℃ 이상 
대만고무나무의 습도 알려 주세요.,습도는 40 에서 70% 
대만고무나무의 비료 알려 주세요.,비료는 보통 요구함 
대만고무나무의 물주기 알려 주세요.,"물주기 봄은 토양 표면이 말랐을때 충분히 관수함 ,여름은 토양 표면이 말랐을때 충분히 관수함 ,가을은 토양 표면이 말랐을때 충분히 관수함 ,겨울은 화분 흙 대부분 말랐을때 충분히 관수함 "
더피고사리의 관리요구도 알려 주세요.,관리요구도는 낮음 (잘 견딤) 
더피고사리의 광요구도 알려 주세요.,"광요구도는 중간 광도(800에서 1,500 Lux),높은 광도(1,500에서 10,000 Lux) "
더피고사리의 배치장소 알려 주세요.,"배치장소는 거실 내측 (실내깊이 300에서 500cm),거실 창측 (실내깊이 150에서 300cm),발코니 내측 (실내깊이 50에서 150cm),발코니 창측 (실내깊이 0에서 50cm) "
더피고사리의 생장속도 알려 주세요.,생장속도는 느림 
